"SEQ","JFAGY code","Allergen Term（JP）","Furigana（JP）","Allergen Term（EN）","Level","Main 100","Clinical Guideline","変更区分","収載日","終了日"
"131","GCM1149500A1ZZZ","【成分名】コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム","","","1","","","1","00000000","99999999"
"132","GCM1149502A1ZZZ","【成分名】サリチル酸ナトリウム・ジブカイン配合剤","","","1","","","1","00000000","99999999"
"133","GCM1149704S1ZZZ","【成分名】ブプレノルフィン","","","1","","","1","00000000","99999999"
"134","GCM1151001F1ZZZ","【成分名】メタンフェタミン塩酸塩","","","1","","","1","00000000","99999999"
"135","GCM1161001C1ZZZ","【成分名】アマンタジン塩酸塩","","","1","","","1","00000000","99999999"
"136","GCM1162001B1ZZZ","【成分名】ビペリデン塩酸塩","","","1","","","1","00000000","99999999"
"137","GCM1162400A1ZZZ","【成分名】乳酸ビペリデン","","","1","","","1","00000000","99999999"
"138","GCM1164001B1ZZZ","【成分名】レボドパ","","","1","","","1","00000000","99999999"
"139","GCM1169001F1ZZZ","【成分名】トリヘキシフェニジル塩酸塩","","","1","","","1","00000000","99999999"
"140","GCM1169003C1ZZZ","【成分名】ピロヘプチン塩酸塩","","","1","","","1","00000000","99999999"
"141","GCM1169004B1ZZZ","【成分名】マザチコール塩酸塩水和物","","","1","","","1","00000000","99999999"
"142","GCM1169005F1ZZZ","【成分名】ブロモクリプチンメシル酸塩","","","1","","","1","00000000","99999999"
"143","GCM1169006C1ZZZ","【成分名】ドロキシドパ","","","1","","","1","00000000","99999999"
"144","GCM1169008D1ZZZ","【成分名】ペルゴリドメシル酸塩","","","1","","","1","00000000","99999999"
"145","GCM1169009F1ZZZ","【成分名】タリペキソール塩酸塩","","","1","","","1","00000000","99999999"
"146","GCM1169010F1ZZZ","【成分名】セレギリン塩酸塩","","","1","","","1","00000000","99999999"
"147","GCM1169011F1ZZZ","【成分名】カベルゴリン","","","1","","","1","00000000","99999999"
"148","GCM1169012F1ZZZ","【成分名】プラミペキソール塩酸塩水和物","","","1","","","1","00000000","99999999"
"149","GCM1169013F1ZZZ","【成分名】ロピニロール塩酸塩","","","1","","","1","00000000","99999999"
"150","GCM1169014F1ZZZ","【成分名】エンタカポン","","","1","","","1","00000000","99999999"
"151","GCM1169016F1ZZZ","【成分名】イストラデフィリン","","","1","","","1","00000000","99999999"
"152","GCM1169017F1ZZZ","【成分名】ラサギリンメシル酸塩","","","1","","","1","00000000","99999999"
"153","GCM1169018F1ZZZ","【成分名】サフィナミドメシル酸塩","","","1","","","1","00000000","99999999"
"154","GCM1169019F1ZZZ","【成分名】オピカポン","","","1","","","1","00000000","99999999"
"155","GCM1169100F1ZZZ","【成分名】レボドパ・ベンセラジド塩酸塩","","","1","","","1","00000000","99999999"
"156","GCM1169101F1ZZZ","【成分名】レボドパ・カルビドパ水和物","","","1","","","1","00000000","99999999"
"157","GCM1169102F1ZZZ","【成分名】レボドパ・カルビドパ水和物・エンタカポン","","","1","","","1","00000000","99999999"
"158","GCM1169400G1ZZZ","【成分名】アポモルヒネ塩酸塩水和物","","","1","","","1","00000000","99999999"
"159","GCM1169500A1ZZZ","【成分名】ホスレボドパ・ホスカルビドパ水和物","","","1","","","1","00000000","99999999"
"160","GCM1169700S1ZZZ","【成分名】ロチゴチン","","","1","","","1","00000000","99999999"
"161","GCM1171001F1ZZZ","【成分名】クロルプロマジン塩酸塩","","","1","","","1","00000000","99999999"
"162","GCM1171005C1ZZZ","【成分名】クロルプロマジンフェノールフタリン酸塩","","","1","","","1","00000000","99999999"
"163","GCM1172004B1ZZZ","【成分名】ペルフェナジンフェンジゾ酸塩","","","1","","","1","00000000","99999999"
"164","GCM1172005C1ZZZ","【成分名】プロペリシアジン","","","1","","","1","00000000","99999999"
"165","GCM1172006F1ZZZ","【成分名】ペルフェナジン","","","1","","","1","00000000","99999999"
"166","GCM1172009B1ZZZ","【成分名】フルフェナジンマレイン酸塩","","","1","","","1","00000000","99999999"
"167","GCM1172010F1ZZZ","【成分名】プロクロルペラジンマレイン酸塩","","","1","","","1","00000000","99999999"
"168","GCM1172013F1ZZZ","【成分名】ペルフェナジンマレイン酸塩","","","1","","","1","00000000","99999999"
"169","GCM1172014B1ZZZ","【成分名】レボメプロマジンマレイン酸塩","","","1","","","1","00000000","99999999"
"170","GCM1172402A1ZZZ","【成分名】塩酸ペルフェナジン","","","1","","","1","00000000","99999999"
"171","GCM1172403A1ZZZ","【成分名】レボメプロマジン塩酸塩","","","1","","","1","00000000","99999999"
"172","GCM1172404A1ZZZ","【成分名】プロクロルペラジン","","","1","","","1","00000000","99999999"
"173","GCM1172405A1ZZZ","【成分名】フルフェナジンデカン酸エステル","","","1","","","1","00000000","99999999"
